d,o,h,l,c,v
2020-05-14 05:00:00,9318.15000000,9349.00000000,9267.00000000,9332.84000000,1887.31109800
2020-05-14 05:30:00,9332.84000000,9447.00000000,9319.01000000,9437.77000000,3356.98254700
2020-05-14 06:00:00,9438.76000000,9462.00000000,9403.35000000,9436.28000000,2708.63222800
2020-05-14 06:30:00,9436.29000000,9480.00000000,9419.65000000,9443.43000000,2097.23691600
2020-05-14 07:00:00,9443.77000000,9500.00000000,9410.00000000,9487.66000000,2426.79729500
2020-05-14 07:30:00,9487.00000000,9547.00000000,9467.67000000,9508.56000000,3651.71435900
2020-05-14 08:00:00,9508.56000000,9534.29000000,9467.50000000,9533.27000000,2700.70882600
2020-05-14 08:30:00,9532.44000000,9648.29000000,9505.51000000,9610.00000000,4543.73075000
2020-05-14 09:00:00,9610.01000000,9768.00000000,9609.00000000,9737.31000000,7285.84487100
2020-05-14 09:30:00,9737.46000000,9828.99000000,9679.56000000,9803.54000000,5350.01441600
2020-05-14 10:00:00,9803.44000000,9939.00000000,9516.00000000,9685.44000000,15433.03222900
2020-05-14 10:30:00,9685.45000000,9720.00000000,9574.89000000,9648.24000000,4601.11645600
2020-05-14 11:00:00,9649.00000000,9799.13000000,9646.50000000,9753.11000000,3963.72897000
2020-05-14 11:30:00,9753.11000000,9768.78000000,9650.00000000,9686.71000000,3483.90801600
2020-05-14 12:00:00,9686.71000000,9713.77000000,9561.00000000,9619.34000000,4156.68474200
2020-05-14 12:30:00,9618.67000000,9620.00000000,9551.64000000,9586.00000000,3128.29198700
2020-05-14 13:00:00,9585.86000000,9648.54000000,9541.01000000,9641.30000000,2504.36782800
2020-05-14 13:30:00,9640.21000000,9649.00000000,9582.29000000,9622.71000000,1675.70003700
2020-05-14 14:00:00,9622.88000000,9744.00000000,9605.00000000,9707.54000000,3713.11854600
2020-05-14 14:30:00,9707.54000000,9759.99000000,9678.97000000,9704.00000000,2423.39804300
2020-05-14 15:00:00,9704.00000000,9729.00000000,9665.47000000,9723.86000000,1551.53686800
2020-05-14 15:30:00,9723.86000000,9758.00000000,9693.06000000,9748.98000000,1726.61548900
2020-05-14 16:00:00,9748.99000000,9783.01000000,9630.35000000,9690.95000000,2926.98187800
2020-05-14 16:30:00,9692.13000000,9699.00000000,9592.00000000,9675.55000000,2557.35680400
2020-05-14 17:00:00,9675.55000000,9675.55000000,9626.75000000,9659.51000000,1102.14407300
2020-05-14 17:30:00,9659.52000000,9659.52000000,9569.47000000,9621.81000000,1904.60851500
2020-05-14 18:00:00,9621.93000000,9664.18000000,9586.00000000,9644.99000000,1374.68415400
2020-05-14 18:30:00,9644.99000000,9683.44000000,9637.51000000,9677.21000000,966.09013500
2020-05-14 19:00:00,9677.97000000,9713.28000000,9665.24000000,9690.59000000,1570.74670400
2020-05-14 19:30:00,9689.76000000,9723.04000000,9650.31000000,9660.00000000,1338.52582900
2020-05-14 20:00:00,9658.59000000,9850.00000000,9629.14000000,9817.00000000,3988.89960700
2020-05-14 20:30:00,9819.06000000,9874.30000000,9599.84000000,9655.88000000,5276.86645900
2020-05-14 21:00:00,9656.34000000,9668.41000000,9612.20000000,9658.00000000,1128.04224400
2020-05-14 21:30:00,9658.00000000,9780.18000000,9658.00000000,9774.98000000,2093.78221300
2020-05-14 22:00:00,9775.24000000,9818.74000000,9714.41000000,9738.64000000,2489.66576600
2020-05-14 22:30:00,9735.78000000,9780.00000000,9730.04000000,9750.94000000,921.30252000
2020-05-14 23:00:00,9751.43000000,9815.00000000,9735.00000000,9806.18000000,1381.75687100
2020-05-14 23:30:00,9805.13000000,9850.32000000,9767.13000000,9791.98000000,2517.14828100
2020-05-15 00:00:00,9791.97000000,9845.62000000,9710.13000000,9737.09000000,2460.58507000
2020-05-15 00:30:00,9736.09000000,9809.80000000,9733.08000000,9770.29000000,1024.57467800
2020-05-15 01:00:00,9769.57000000,9775.52000000,9728.66000000,9757.38000000,977.46639800
2020-05-15 01:30:00,9757.38000000,9772.00000000,9720.09000000,9738.79000000,805.01321800
2020-05-15 02:00:00,9738.78000000,9748.51000000,9600.00000000,9637.19000000,3548.91066100
2020-05-15 02:30:00,9637.09000000,9637.66000000,9256.12000000,9490.21000000,11884.61595600
2020-05-15 03:00:00,9490.10000000,9563.02000000,9432.00000000,9487.59000000,4121.05814500
2020-05-15 03:30:00,9487.53000000,9532.39000000,9463.30000000,9472.97000000,1677.09375300
2020-05-15 04:00:00,9472.97000000,9510.00000000,9451.00000000,9476.82000000,1773.40306800
2020-05-15 04:30:00,9476.34000000,9500.00000000,9436.02000000,9444.21000000,1384.83495000
2020-05-15 05:00:00,9445.70000000,9477.43000000,9370.38000000,9440.66000000,2906.35448700
2020-05-15 05:30:00,9441.16000000,9525.01000000,9425.81000000,9505.34000000,1945.81401800
2020-05-15 06:00:00,9505.34000000,9554.00000000,9496.93000000,9549.78000000,1925.58852300
2020-05-15 06:30:00,9549.77000000,9551.48000000,9520.27000000,9548.00000000,948.48577700
2020-05-15 07:00:00,9548.00000000,9645.00000000,9538.02000000,9613.02000000,2920.36600200
2020-05-15 07:30:00,9613.56000000,9729.81000000,9612.58000000,9674.33000000,3229.66861700
2020-05-15 08:00:00,9673.45000000,9710.00000000,9627.74000000,9648.78000000,2327.77252100
2020-05-15 08:30:00,9649.34000000,9675.00000000,9604.38000000,9616.00000000,1607.60978700
2020-05-15 09:00:00,9616.00000000,9647.65000000,9544.00000000,9635.02000000,2541.65963300
2020-05-15 09:30:00,9635.01000000,9656.25000000,9577.85000000,9610.52000000,1327.65711200
2020-05-15 10:00:00,9610.09000000,9611.49000000,9515.00000000,9532.25000000,2131.59761700
2020-05-15 10:30:00,9532.80000000,9627.37000000,9480.00000000,9587.14000000,2389.59165700
2020-05-15 11:00:00,9587.70000000,9650.00000000,9550.21000000,9650.00000000,1936.91606000
2020-05-15 11:30:00,9650.00000000,9655.00000000,9579.34000000,9592.38000000,1213.89183300
2020-05-15 12:00:00,9593.53000000,9593.53000000,9521.00000000,9522.93000000,2188.60877100
2020-05-15 12:30:00,9522.93000000,9572.40000000,9510.00000000,9520.13000000,1699.01321000
2020-05-15 13:00:00,9521.49000000,9579.12000000,9490.00000000,9569.07000000,1996.57955600
2020-05-15 13:30:00,9569.08000000,9579.00000000,9532.78000000,9545.99000000,1450.08582200
2020-05-15 14:00:00,9545.54000000,9605.00000000,9545.49000000,9570.95000000,1690.70406600
2020-05-15 14:30:00,9570.95000000,9616.65000000,9560.00000000,9568.02000000,1455.66789100
2020-05-15 15:00:00,9568.17000000,9570.81000000,9415.01000000,9490.02000000,4109.27972800
2020-05-15 15:30:00,9490.22000000,9500.00000000,9413.93000000,9475.53000000,3126.14600300
2020-05-15 16:00:00,9476.33000000,9517.01000000,9446.94000000,9505.03000000,2307.97139000
2020-05-15 16:30:00,9505.03000000,9508.00000000,9460.53000000,9470.72000000,1306.58105700
2020-05-15 17:00:00,9471.18000000,9506.31000000,9442.00000000,9482.00000000,1808.46524300
2020-05-15 17:30:00,9482.00000000,9498.11000000,9451.69000000,9478.08000000,1105.99357500
2020-05-15 18:00:00,9478.01000000,9534.78000000,9475.02000000,9495.26000000,1313.22656300
2020-05-15 18:30:00,9495.29000000,9522.89000000,9487.80000000,9490.18000000,823.12930500
2020-05-15 19:00:00,9490.35000000,9511.10000000,9331.66000000,9404.90000000,3916.18850100
2020-05-15 19:30:00,9406.25000000,9420.00000000,9333.25000000,9337.83000000,2479.85533000
2020-05-15 20:00:00,9337.86000000,9409.26000000,9283.34000000,9358.36000000,3873.41339100
2020-05-15 20:30:00,9356.72000000,9369.84000000,9150.00000000,9250.25000000,8250.12101200
2020-05-15 21:00:00,9250.29000000,9440.00000000,9211.10000000,9380.41000000,3370.97541400
2020-05-15 21:30:00,9380.42000000,9455.18000000,9358.48000000,9419.98000000,1833.05203900
2020-05-15 22:00:00,9419.98000000,9474.09000000,9371.04000000,9469.61000000,1361.90384600
2020-05-15 22:30:00,9469.62000000,9487.58000000,9340.43000000,9365.82000000,1932.66878500
2020-05-15 23:00:00,9366.23000000,9395.83000000,9341.25000000,9366.24000000,1268.12503700
2020-05-15 23:30:00,9365.60000000,9393.00000000,9228.99000000,9316.42000000,2212.47644000
2020-05-16 00:00:00,9315.96000000,9338.95000000,9220.00000000,9282.41000000,2103.93679300
2020-05-16 00:30:00,9281.94000000,9399.97000000,9279.03000000,9396.01000000,2328.06954000
2020-05-16 01:00:00,9396.01000000,9419.76000000,9361.72000000,9385.12000000,1435.07461000
2020-05-16 01:30:00,9384.87000000,9444.88000000,9367.49000000,9410.71000000,1123.90836500
2020-05-16 02:00:00,9410.71000000,9437.15000000,9382.41000000,9412.29000000,845.94132400
2020-05-16 02:30:00,9412.60000000,9458.16000000,9409.05000000,9432.29000000,1206.17752900
2020-05-16 03:00:00,9432.30000000,9448.32000000,9394.94000000,9406.24000000,1070.86663500
2020-05-16 03:30:00,9406.44000000,9437.96000000,9390.30000000,9405.68000000,603.55167700
2020-05-16 04:00:00,9405.68000000,9485.00000000,9396.82000000,9436.52000000,1528.42698500
2020-05-16 04:30:00,9436.52000000,9499.97000000,9433.37000000,9495.42000000,1112.69757900
2020-05-16 05:00:00,9495.67000000,9588.00000000,9477.50000000,9555.01000000,2595.30020100
2020-05-16 05:30:00,9555.01000000,9567.14000000,9445.14000000,9459.32000000,2037.55431900
2020-05-16 06:00:00,9459.32000000,9482.87000000,9412.53000000,9463.77000000,1188.08176600
2020-05-16 06:30:00,9463.78000000,9483.68000000,9440.00000000,9470.08000000,589.72869700
2020-05-16 07:00:00,9470.08000000,9510.00000000,9445.21000000,9457.07000000,992.96157500
