d,o,h,l,c,v
2020-05-14 01:00:00,198.41000000,199.00000000,197.65000000,198.75000000,9713.54437000
2020-05-14 01:30:00,198.72000000,198.75000000,197.05000000,197.30000000,11180.84548000
2020-05-14 02:00:00,197.28000000,198.13000000,196.62000000,198.09000000,10442.80750000
2020-05-14 02:30:00,198.05000000,198.94000000,197.97000000,198.78000000,6729.58455000
2020-05-14 03:00:00,198.79000000,198.84000000,197.77000000,198.50000000,9044.69192000
2020-05-14 03:30:00,198.44000000,199.22000000,198.10000000,199.12000000,12413.70306000
2020-05-14 04:00:00,199.11000000,199.23000000,197.90000000,198.15000000,17128.16341000
2020-05-14 04:30:00,198.15000000,198.21000000,197.63000000,197.70000000,8185.05124000
2020-05-14 05:00:00,197.70000000,197.70000000,195.67000000,197.28000000,29335.38670000
2020-05-14 05:30:00,197.33000000,199.75000000,197.15000000,199.03000000,29950.01333000
2020-05-14 06:00:00,199.06000000,199.48000000,198.26000000,199.04000000,15509.60015000
2020-05-14 06:30:00,199.08000000,199.47000000,198.67000000,198.84000000,9438.62657000
2020-05-14 07:00:00,198.81000000,200.69000000,198.36000000,200.40000000,18674.73206000
2020-05-14 07:30:00,200.40000000,200.82000000,199.54000000,199.80000000,19258.48672000
2020-05-14 08:00:00,199.80000000,200.21000000,198.67000000,199.88000000,18915.04731000
2020-05-14 08:30:00,199.85000000,202.28000000,199.25000000,201.69000000,43125.75831000
2020-05-14 09:00:00,201.70000000,203.87000000,201.62000000,203.34000000,61313.83889000
2020-05-14 09:30:00,203.34000000,205.25000000,202.59000000,204.65000000,55625.87643000
2020-05-14 10:00:00,204.66000000,206.02000000,201.87000000,202.25000000,90063.92089000
2020-05-14 10:30:00,202.27000000,203.09000000,200.45000000,202.04000000,41230.13543000
2020-05-14 11:00:00,202.05000000,204.08000000,202.03000000,203.77000000,23223.27166000
2020-05-14 11:30:00,203.75000000,203.99000000,202.25000000,202.54000000,17565.97623000
2020-05-14 12:00:00,202.53000000,202.79000000,200.70000000,202.11000000,20602.03400000
2020-05-14 12:30:00,202.11000000,202.13000000,201.27000000,201.61000000,17467.30428000
2020-05-14 13:00:00,201.61000000,202.18000000,200.72000000,201.84000000,17034.34620000
2020-05-14 13:30:00,201.87000000,202.20000000,201.03000000,201.68000000,10671.55282000
2020-05-14 14:00:00,201.66000000,202.90000000,201.10000000,202.40000000,18443.79576000
2020-05-14 14:30:00,202.40000000,203.19000000,201.74000000,202.04000000,10639.73141000
2020-05-14 15:00:00,202.04000000,202.42000000,201.00000000,202.20000000,12257.30737000
2020-05-14 15:30:00,202.20000000,202.60000000,201.64000000,202.44000000,9101.16425000
2020-05-14 16:00:00,202.45000000,203.13000000,200.82000000,201.01000000,19044.71370000
2020-05-14 16:30:00,201.00000000,201.28000000,197.16000000,199.27000000,56045.88073000
2020-05-14 17:00:00,199.25000000,199.27000000,198.15000000,198.30000000,23154.09239000
2020-05-14 17:30:00,198.30000000,198.35000000,196.21000000,198.04000000,50097.94619000
2020-05-14 18:00:00,198.04000000,199.24000000,197.64000000,199.07000000,28268.32338000
2020-05-14 18:30:00,199.01000000,200.46000000,198.80000000,200.29000000,26918.32563000
2020-05-14 19:00:00,200.27000000,201.98000000,199.94000000,201.92000000,39619.08940000
2020-05-14 19:30:00,201.91000000,204.65000000,201.68000000,203.47000000,62962.01287000
2020-05-14 20:00:00,203.46000000,205.20000000,202.32000000,203.76000000,39154.38324000
2020-05-14 20:30:00,203.76000000,204.56000000,202.03000000,202.70000000,20869.65021000
2020-05-14 21:00:00,202.67000000,202.94000000,202.03000000,202.52000000,8009.74475000
2020-05-14 21:30:00,202.52000000,203.25000000,202.51000000,202.95000000,5024.31141000
2020-05-14 22:00:00,202.99000000,204.35000000,202.90000000,203.31000000,7914.26462000
2020-05-14 22:30:00,203.35000000,204.45000000,203.33000000,203.65000000,8443.34639000
2020-05-14 23:00:00,203.65000000,203.75000000,202.61000000,203.36000000,8901.11412000
2020-05-14 23:30:00,203.34000000,204.00000000,202.89000000,203.29000000,8871.03119000
2020-05-15 00:00:00,203.29000000,204.08000000,201.93000000,202.10000000,17676.47599000
2020-05-15 00:30:00,202.05000000,203.15000000,201.98000000,202.71000000,7280.36703000
2020-05-15 01:00:00,202.71000000,203.03000000,202.33000000,202.58000000,11807.23717000
2020-05-15 01:30:00,202.58000000,202.59000000,201.55000000,201.67000000,9746.24364000
2020-05-15 02:00:00,201.67000000,201.83000000,199.26000000,200.26000000,38792.69005000
2020-05-15 02:30:00,200.22000000,200.22000000,197.21000000,199.45000000,48272.68841000
2020-05-15 03:00:00,199.44000000,200.89000000,198.78000000,199.88000000,35505.69826000
2020-05-15 03:30:00,199.81000000,200.37000000,199.41000000,199.41000000,16288.99775000
2020-05-15 04:00:00,199.42000000,199.88000000,198.77000000,199.42000000,10897.09863000
2020-05-15 04:30:00,199.37000000,200.10000000,198.57000000,198.82000000,8003.72607000
2020-05-15 05:00:00,198.83000000,199.37000000,198.42000000,199.13000000,12397.80374000
2020-05-15 05:30:00,199.13000000,199.90000000,198.87000000,199.75000000,14710.91876000
2020-05-15 06:00:00,199.75000000,201.62000000,199.65000000,201.40000000,42645.25634000
2020-05-15 06:30:00,201.44000000,201.47000000,200.24000000,200.62000000,8066.41861000
2020-05-15 07:00:00,200.62000000,201.18000000,200.36000000,200.84000000,11804.29051000
2020-05-15 07:30:00,200.83000000,201.88000000,200.79000000,201.23000000,35735.45319000
2020-05-15 08:00:00,201.21000000,201.29000000,200.59000000,200.89000000,21865.35389000
2020-05-15 08:30:00,200.88000000,200.90000000,200.06000000,200.12000000,19561.48395000
2020-05-15 09:00:00,200.15000000,200.42000000,199.33000000,200.32000000,24195.48700000
2020-05-15 09:30:00,200.31000000,200.42000000,199.31000000,199.64000000,8590.88364000
2020-05-15 10:00:00,199.60000000,199.92000000,198.89000000,199.17000000,16521.78270000
2020-05-15 10:30:00,199.11000000,200.40000000,198.78000000,199.93000000,9772.92775000
2020-05-15 11:00:00,199.97000000,201.50000000,199.90000000,201.32000000,21314.24163000
2020-05-15 11:30:00,201.34000000,201.66000000,200.33000000,201.00000000,17098.01514000
2020-05-15 12:00:00,201.01000000,201.01000000,199.10000000,199.21000000,20318.87891000
2020-05-15 12:30:00,199.22000000,200.13000000,198.86000000,199.50000000,11524.08530000
2020-05-15 13:00:00,199.51000000,200.26000000,198.86000000,199.99000000,12222.77667000
